name,pic,quote,ranking,score,score_num,star,subject
心灵捕手,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,人生中应该拥有这样的一段豁然开朗。,84,8.9,719038,rating45-t,https://movie.douban.com/subject/1292656/
海豚湾,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg,海豚的微笑，是世界上最高明的伪装。,85,9.3,358839,rating45-t,https://movie.douban.com/subject/3442220/
超脱,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,穷尽一生，我们要学会的，不过是彼此拥抱。,86,9.0,607063,rating45-t,https://movie.douban.com/subject/5322596/
低俗小说,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,故事的高级讲法。,87,8.9,839441,rating45-t,https://movie.douban.com/subject/1291832/
春光乍泄,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,爱情纠缠，男女一致。,88,9.0,636807,rating45-t,https://movie.douban.com/subject/1292679/
摩登时代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg,大时代中的人生，小人物的悲喜。,89,9.3,303789,rating45-t,https://movie.douban.com/subject/1294371/
美国往事,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,往事如烟，无处祭奠。,90,9.2,414118,rating45-t,https://movie.douban.com/subject/1292262/
喜剧之王,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg,我是一个演员。,91,8.8,977402,rating45-t,https://movie.douban.com/subject/1302425/
致命ID,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg,最不可能的那个人永远是最可能的。,92,8.9,831521,rating45-t,https://movie.douban.com/subject/1297192/
杀人回忆,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.jpg,关于连环杀人悬案的集体回忆。,93,8.9,720346,rating45-t,https://movie.douban.com/subject/1300299/
七宗罪,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg,警察抓小偷，老鼠玩死猫。,94,8.8,948130,rating45-t,https://movie.douban.com/subject/1292223/
红辣椒,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456825720.jpg,梦的勾结。,95,9.1,468753,rating45-t,https://movie.douban.com/subject/1865703/
加勒比海盗,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2896589545.jpg,约翰尼·德普的独角戏。,96,8.8,865540,rating45-t,https://movie.douban.com/subject/1298070/
哈利·波特与密室,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.jpg,魔法的密室之门已打开...,97,8.9,765638,rating45-t,https://movie.douban.com/subject/1296996/
一一,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg,我们都曾经是一一。,98,9.1,398039,rating45-t,https://movie.douban.com/subject/1292434/
狩猎,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,人言可畏。,99,9.1,395208,rating45-t,https://movie.douban.com/subject/6985810/
唐伯虎点秋香,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg,华太师是黄霑，吴镇宇四大才子之一。,100,8.7,1088175,rating45-t,https://movie.douban.com/subject/1306249/
7号房的礼物,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg,《我是山姆》的《美丽人生》。,101,8.9,561075,rating45-t,https://movie.douban.com/subject/10777687/
被嫌弃的松子的一生,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg,以戏谑来戏谑戏谑。,102,8.9,707593,rating45-t,https://movie.douban.com/subject/1787291/
请以你的名字呼唤我,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg,沉醉在电影的情感和视听氛围中无法自拔。,103,8.9,727999,rating45-t,https://movie.douban.com/subject/26799731/
断背山,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2604889017.jpg,每个人心中都有一座断背山。,104,8.8,710815,rating45-t,https://movie.douban.com/subject/1418834/
